AgeGroup 0 InfectedCritical,AgeGroup 0 Dead,AgeGroup 1 InfectedCritical,AgeGroup 1 Dead,AgeGroup 2 InfectedCritical,AgeGroup 2 Dead,AgeGroup 3 InfectedCritical,AgeGroup 3 Dead,AgeGroup 4 InfectedCritical,AgeGroup 4 Dead,AgeGroup 5 InfectedCritical,AgeGroup 5 Dead
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,3,0,1,0,0,0
0,0,0,0,0,0,4,1,1,0,0,0
0,0,0,0,1,0,5,1,2,0,0,0
0,0,0,0,1,0,7,1,2,0,1,0
0,0,0,0,1,0,9,2,3,1,1,0
0,0,0,0,2,0,12,3,5,1,1,0
0,0,0,0,3,0,17,4,6,2,2,0
1,0,1,0,4,1,22,6,8,3,3,1
1,0,1,0,5,1,29,8,11,4,3,1
2,0,1,0,7,1,38,11,15,5,5,2
2,1,2,0,9,2,50,15,20,7,6,2
3,1,3,1,12,2,66,19,26,9,8,3
4,2,4,1,16,3,86,26,34,12,11,4
6,2,5,2,21,4,113,34,45,16,15,6
8,3,7,2,27,6,148,45,59,21,19,8
10,5,9,3,36,8,193,59,77,28,26,10
